,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,Drib_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,Drib_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
0,Ismael Aaneba,fr  FRA,"FW,DF",Strasbourg,21,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
1,Yunis Abdelhamid,ma  MAR,DF,Reims,32,1987,32.1,11,0.34,10,0,0,1,0,0,0,0.00,0,0,0,0,0,0
2,Mehdi Abeid,dz  ALG,MF,Nantes,27,1992,14.7,28,1.91,18,4,2,0,2,2,1,0.07,1,0,0,0,0,0
3,Laurent Abergel,fr  FRA,MF,Lorient,27,1993,32.9,56,1.70,40,1,1,5,4,5,9,0.27,6,0,0,1,1,1
4,Charles Abi,fr  FRA,"FW,MF",Saint-Étienne,20,2000,10.1,14,1.38,11,1,1,0,1,0,2,0.20,2,0,0,0,0,0
5,Matthis Abline,fr  FRA,FW,Rennes,17,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
6,Pape Abou Cisse,sn  SEN,DF,Saint-Étienne,24,1995,14.0,7,0.50,4,0,0,2,1,0,0,0.00,0,0,0,0,0,0
7,Yacine Adli,fr  FRA,MF,Bordeaux,20,2000,26.9,92,3.42,68,9,6,1,3,5,8,0.30,6,1,0,1,0,0
8,Nayef Aguerd,ma  MAR,DF,Rennes,24,1996,35.0,14,0.40,12,0,0,2,0,0,1,0.03,1,0,0,0,0,0
9,Ruben Aguilar,fr  FRA,"DF,FW",Monaco,27,1993,24.7,72,2.91,56,9,2,1,4,0,8,0.32,6,0,1,0,1,0
10,Matteo Ahlinvi,bj  BEN,MF,Nîmes,21,1999,10.0,10,1.00,4,2,0,0,2,2,0,0.00,0,0,0,0,0,0
11,Cheikh Ahmadou Dieng,sn  SEN,FW,Marseille,20,2000,1.4,1,0.70,0,0,0,0,1,0,1,0.70,0,0,0,0,1,0
12,Rayan Aït Nouri,fr  FRA,DF,Angers,19,2001,2.1,8,3.85,6,0,2,0,0,0,2,0.96,1,0,1,0,0,0
13,Ludovic Ajorque,re  REU,FW,Strasbourg,26,1994,33.0,68,2.06,48,0,1,11,8,0,8,0.24,4,0,1,1,2,0
14,Marley Aké,fr  FRA,FW,Marseille,19,2001,1.6,1,0.62,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
15,Sofiane Alakouch,fr  FRA,DF,Nîmes,22,1998,16.7,16,0.96,12,1,1,0,2,0,3,0.18,2,0,0,0,1,0
16,Mohamed Ali Cho,fr  FRA,"FW,MF",Angers,16,2004,3.9,5,1.29,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
17,Rachid Alioui,ma  MAR,FW,Angers,28,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
18,Saturnin Allagbé,bj  BEN,GK,Dijon,26,1993,12.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
19,Ibrahim Amadou,fr  FRA,MF,Angers,27,1993,16.7,25,1.50,21,0,0,2,0,2,3,0.18,2,0,0,1,0,0
20,Romain Amalfitano,fr  FRA,"FW,DF",Dijon,30,1989,1.3,2,1.55,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
21,Jordan Amavi,fr  FRA,DF,Marseille,26,1994,9.0,16,1.77,7,1,1,1,6,0,5,0.55,2,0,0,1,2,0
22,Thierry Ambrose,fr  FRA,FW,Metz,23,1997,8.4,25,2.99,18,1,3,1,2,0,2,0.24,2,0,0,0,0,0
23,Joachim Andersen,dk  DEN,DF,Lyon,24,1996,2.1,1,0.47,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
24,Benjamin André,fr  FRA,MF,Lille,29,1990,32.1,55,1.72,47,0,3,2,3,0,4,0.12,4,0,0,0,0,0
25,Victorien Angban,ci  CIV,MF,Metz,23,1996,18.6,26,1.40,25,0,0,0,1,0,2,0.11,2,0,0,0,0,0
